,Compound Name/PubChem ID,Binding_Affintiy
842,6755,-6.571
843,79441,-6.48
844,5281894,-6.539
845,5282108,-6.588
846,12304094,-6.464
847,5280746,-7.594
848,15101829,-7.324
849,185819,-6.896
850,5281613,-7.011
851,3033866,-6.618
852,3564,-6.481
853,5280953,-6.434
854,375105,-6.644
855,11996857,-5.854
856,5280637,-5.789
857,14032966,-6.966
858,445638,-6.699
859,5321954,-7.28
860,17985540,-6.506
861,173952,-7.17
862,64689,-6.928
863,13844298,-7.476
864,476856,-7.436
865,8029,-6.626
866,7772,-6.48
867,44583852,-6.861
868,10404245,-7.336
869,1254,-6.466
870,5319706,-6.81
871,156517,-7.507
872,95548,-6.526
873,104745,-6.508
874,31268,-6.765
875,263,-6.656
876,5281761,-6.915
877,14985,-7.332
878,241,-6.656
879,6857447,-7.293
880,5281759,-6.998
881,92094,-7.378
882,8857,-6.69
883,22842356,-6.85
884,92729,-7.293
885,129668240,-7.135
886,174003,-7.143
887,9917980,-7.162
888,5280548,-7.102
889,24624,-6.438
890,19695,-6.448
891,452707,-5.161
892,558024,-6.68
893,68406,-7.297
894,8209,-6.564
895,68972,-7.296
896,33510,-6.576
897,5282922,-7.533
898,92113,-7.479
899,17218,-6.68
900,74897,-6.473
901,860,-6.732
902,3931,-6.689
903,5312440,-6.786
904,5282745,-6.699
905,180,-6.742
906,8215,-7.412
907,124021,-6.728
908,5281328,-7.402
909,2682,-6.635
910,10374,-6.442
911,5312378,-6.597
912,341,-6.466
913,15612,-6.528
914,33113,-7.047
915,17885,-6.578
916,12620,-7.266
917,5484218,-5.829
918,637517,-6.726
919,18963719,-6.543
920,444972,-6.367
921,5281377,-6.464
922,16898,-7.236
923,10465,-6.708
924,6559,-6.646
925,91737062,-7.326
926,7955,-6.648
927,378532,-6.629
928,5367462,-6.81
929,7428,-6.552
930,73178,-6.33
931,10468,-7.391
932,13849,-6.583
933,65238,-6.4
934,6585,-6.319
935,1057,-6.55
936,5378597,-5.841
937,9832350,-7.258
938,8221,-6.714
939,91702167,-7.293
940,11197,-7.303
941,5480299,-6.49
942,5281629,-6.822
943,54678486,-6.882
944,5281631,-6.49
945,5281646,-7.816
946,5319255,-7.726
947,5281419,-7.62
948,5281650,-7.751
949,5319380,-7.818
950,5281651,-6.414
951,5281652,-6.486
952,5480342,-6.55
953,14089213,-6.526
954,6445537,-6.442
955,44258704,-7.434
956,5375199,-6.474
957,5281166,-6.521
958,440473,-6.473
959,996,-6.645
960,5276454,-6.925
961,3469,-6.489
962,267950,-6.521
963,5281331,-7.402
964,3081416,-6.62
965,12309060,-7.148
966,264,-6.66
967,24526,-6.698
